timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-28,1585.0000,1650.0000,1580.0000,1650.0000,1650.0000,24095900,0.0000,1.0000
2019-03-27,1550.0000,1585.0000,1550.0000,1575.0000,1575.0000,4023100,0.0000,1.0000
2019-03-26,1535.0000,1550.0000,1525.0000,1545.0000,1545.0000,4149300,0.0000,1.0000
2019-03-25,1575.0000,1575.0000,1520.0000,1530.0000,1530.0000,9386200,0.0000,1.0000
2019-03-22,1620.0000,1620.0000,1590.0000,1595.0000,1595.0000,4201900,0.0000,1.0000
2019-03-21,1615.0000,1630.0000,1610.0000,1620.0000,1620.0000,6778000,0.0000,1.0000
2019-03-20,1570.0000,1620.0000,1570.0000,1610.0000,1610.0000,21209000,0.0000,1.0000
2019-03-19,1545.0000,1580.0000,1535.0000,1570.0000,1570.0000,5787000,0.0000,1.0000
2019-03-18,1550.0000,1575.0000,1530.0000,1535.0000,1535.0000,8246100,0.0000,1.0000
2019-03-15,1560.0000,1580.0000,1550.0000,1550.0000,1550.0000,2392400,0.0000,1.0000
2019-03-14,1570.0000,1585.0000,1555.0000,1565.0000,1565.0000,6589500,0.0000,1.0000
2019-03-13,1530.0000,1560.0000,1530.0000,1555.0000,1555.0000,5007600,0.0000,1.0000
2019-03-12,1535.0000,1545.0000,1520.0000,1525.0000,1525.0000,3422200,0.0000,1.0000
2019-03-11,1520.0000,1525.0000,1505.0000,1520.0000,1520.0000,2260100,0.0000,1.0000
2019-03-08,1520.0000,1530.0000,1510.0000,1520.0000,1520.0000,3998700,0.0000,1.0000
2019-03-07,1530.0000,1530.0000,1530.0000,1530.0000,1530.0000,0,0.0000,1.0000
2019-03-06,1530.0000,1545.0000,1520.0000,1530.0000,1530.0000,3907500,0.0000,1.0000
2019-03-05,1540.0000,1540.0000,1510.0000,1530.0000,1530.0000,4494200,0.0000,1.0000
2019-03-04,1515.0000,1545.0000,1515.0000,1535.0000,1535.0000,6500800,0.0000,1.0000
2019-03-01,1510.0000,1530.0000,1500.0000,1515.0000,1515.0000,3339300,0.0000,1.0000
2019-02-28,1535.0000,1545.0000,1500.0000,1500.0000,1500.0000,8134900,0.0000,1.0000
2019-02-27,1520.0000,1565.0000,1515.0000,1530.0000,1530.0000,13872400,0.0000,1.0000
2019-02-26,1525.0000,1535.0000,1510.0000,1515.0000,1515.0000,6396100,0.0000,1.0000
2019-02-25,1550.0000,1560.0000,1515.0000,1520.0000,1520.0000,8847200,0.0000,1.0000
2019-02-22,1570.0000,1570.0000,1530.0000,1540.0000,1540.0000,4729800,0.0000,1.0000
2019-02-21,1590.0000,1600.0000,1565.0000,1565.0000,1565.0000,6101000,0.0000,1.0000
2019-02-20,1540.0000,1590.0000,1540.0000,1590.0000,1590.0000,8667300,0.0000,1.0000
2019-02-19,1530.0000,1565.0000,1520.0000,1530.0000,1530.0000,7872200,0.0000,1.0000
2019-02-18,1540.0000,1555.0000,1520.0000,1520.0000,1520.0000,6534200,0.0000,1.0000
2019-02-15,1590.0000,1595.0000,1520.0000,1520.0000,1520.0000,11940200,0.0000,1.0000
2019-02-14,1570.0000,1605.0000,1555.0000,1590.0000,1590.0000,4974700,0.0000,1.0000
2019-02-13,1600.0000,1620.0000,1565.0000,1575.0000,1575.0000,8779500,0.0000,1.0000
2019-02-12,1630.0000,1665.0000,1550.0000,1600.0000,1600.0000,8897000,0.0000,1.0000
2019-02-11,1665.0000,1680.0000,1630.0000,1630.0000,1630.0000,8878800,0.0000,1.0000
2019-02-08,1670.0000,1690.0000,1660.0000,1680.0000,1680.0000,5673900,0.0000,1.0000
2019-02-07,1680.0000,1690.0000,1670.0000,1680.0000,1680.0000,6256800,0.0000,1.0000
2019-02-06,1645.0000,1680.0000,1645.0000,1675.0000,1675.0000,10640500,0.0000,1.0000
2019-02-05,1635.0000,1635.0000,1635.0000,1635.0000,1635.0000,0,0.0000,1.0000
2019-02-04,1650.0000,1660.0000,1625.0000,1635.0000,1635.0000,5908500,0.0000,1.0000
2019-02-01,1640.0000,1655.0000,1630.0000,1640.0000,1640.0000,7276500,0.0000,1.0000
2019-01-31,1625.0000,1660.0000,1625.0000,1630.0000,1630.0000,18138100,0.0000,1.0000
2019-01-30,1595.0000,1630.0000,1590.0000,1615.0000,1615.0000,9099800,0.0000,1.0000
2019-01-29,1670.0000,1670.0000,1590.0000,1595.0000,1595.0000,21157600,0.0000,1.0000
2019-01-28,1725.0000,1735.0000,1655.0000,1675.0000,1675.0000,13256900,0.0000,1.0000
2019-01-25,1705.0000,1725.0000,1700.0000,1710.0000,1710.0000,7763000,0.0000,1.0000
2019-01-24,1725.0000,1740.0000,1695.0000,1700.0000,1700.0000,7010100,0.0000,1.0000
2019-01-23,1720.0000,1740.0000,1710.0000,1720.0000,1720.0000,9698300,0.0000,1.0000
2019-01-22,1695.0000,1725.0000,1670.0000,1705.0000,1705.0000,15451500,0.0000,1.0000
2019-01-21,1725.0000,1735.0000,1695.0000,1700.0000,1700.0000,12062300,0.0000,1.0000
2019-01-18,1730.0000,1745.0000,1690.0000,1710.0000,1710.0000,22274000,0.0000,1.0000
2019-01-17,1815.0000,1840.0000,1715.0000,1715.0000,1715.0000,24549700,0.0000,1.0000
2019-01-16,1800.0000,1815.0000,1780.0000,1810.0000,1810.0000,12811600,0.0000,1.0000
2019-01-15,1750.0000,1820.0000,1725.0000,1790.0000,1790.0000,30216000,0.0000,1.0000
2019-01-14,1730.0000,1750.0000,1720.0000,1750.0000,1750.0000,4132700,0.0000,1.0000
2019-01-11,1765.0000,1765.0000,1730.0000,1730.0000,1730.0000,6098500,0.0000,1.0000
