timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,"euclidean_distance
","predictions
",distance_weighted
2004-03-18,144.239,165.451,144.239,156.966,112.7995,169798702,0,1,,,
2004-03-19,156.966,161.209,148.482,152.724,109.7511,24555479,0,1,,,
2004-03-22,0,0,0,0,0,0,0,1,,,
2004-03-23,148.482,152.724,144.239,144.239,103.6535,5886503,0,1,,,
2004-03-24,148.482,148.482,148.482,148.482,106.7027,4339005,0,1,,,
2004-03-25,148.482,156.966,148.482,152.724,109.7511,30601093,0,1,,,
2004-03-26,152.724,152.724,148.482,148.482,106.7027,11193136,0,1,,,
2004-03-29,148.482,152.724,148.482,148.482,106.7027,9259058,0,1,,,
2004-03-30,152.724,152.724,144.239,148.482,106.7027,3198712,0,1,,,
2004-03-31,148.482,148.482,139.997,144.239,103.6535,7369178,0,1,,,
2004-04-01,144.239,148.482,139.997,148.482,106.7027,3485111,0,1,,,
2004-04-02,148.482,169.693,144.239,169.693,121.9454,41953339,0,1,,,
2004-04-05,0,0,0,0,0,0,0,1,,,
2004-04-06,173.936,229.086,173.936,229.086,164.6266,69030426,0,1,,,
2004-04-07,250.298,292.721,246.055,288.479,207.3078,131379386,0,1,,,
2004-04-08,288.479,330.902,279.994,313.933,225.5996,89763126,0,1,,,
2004-04-09,0,0,0,0,0,0,0,1,,,
2004-04-12,305.448,305.448,288.479,292.721,210.3562,7772258,0,1,,,
2004-04-13,292.721,296.963,263.025,275.752,198.1619,14644657,0,1,,,
2004-04-14,271.509,369.083,271.509,369.083,265.2317,84713427,0,1,,,
2004-04-15,394.537,403.022,330.902,335.144,240.8424,111718620,0,1,,,
2004-04-16,335.144,364.841,335.144,347.871,249.9883,23308524,0,1,,,
2004-04-19,347.871,352.114,343.629,347.871,249.9883,2389016,0,1,,,
2004-04-20,343.629,411.506,343.629,403.022,289.6211,90850382,0,1,,,
2004-04-21,403.022,403.022,373.325,377.568,271.3292,68800600,0,1,,,
2004-04-22,377.568,415.749,377.568,403.022,289.6211,65006107,0,1,,,
2004-04-23,407.264,415.749,394.537,398.779,286.572,12948067,0,1,,,
2004-04-26,398.779,407.264,394.537,398.779,286.572,8570168,0,1,,,
2004-04-27,394.537,394.537,369.083,373.325,268.2802,22959659,0,1,,,
2004-04-28,373.325,381.81,373.325,373.325,268.2802,4118018,0,1,,,
2004-04-29,373.325,386.052,364.841,364.841,262.1834,10693411,0,1,,,
2004-04-30,360.598,360.598,326.66,339.387,243.8915,22916640,0,1,,,
2004-05-03,0,0,0,0,0,0,0,1,,,
2004-05-04,343.629,356.356,335.144,335.144,240.8424,9213093,0,1,,,
2004-05-05,339.387,339.387,313.933,318.175,228.648,4993715,0,1,,,
2004-05-06,322.417,335.144,313.933,313.933,225.5996,6812880,0,1,,,
2004-05-07,313.933,326.66,313.933,313.933,225.5996,3927085,0,1,,,
2004-05-10,305.448,305.448,250.298,254.54,182.9184,5447475,0,1,,,
2004-05-11,250.298,284.236,246.055,279.994,201.2103,13201465,0,1,,,
2004-05-12,288.479,309.69,284.236,296.963,213.4046,16492697,0,1,,,
2004-05-13,296.963,301.206,279.994,284.236,204.2587,10277955,0,1,,,
2004-05-14,284.236,284.236,263.025,267.267,192.0643,2451482,0,1,,,
2004-05-17,250.298,279.994,220.601,220.601,158.5291,8657974,0,1,,,
2004-05-18,233.328,250.298,224.844,237.571,170.7241,10805967,0,1,,,
2004-05-19,250.298,284.236,250.298,279.994,201.2103,20379121,0,1,,,
2004-05-20,293.179,293.179,293.179,293.179,210.6853,0,0,1,,,
2004-05-21,288.479,309.69,284.236,305.448,219.5022,17442646,0,1,,,
2004-05-24,309.69,326.66,309.69,309.69,222.5506,28717695,0,1,,,
2004-05-25,305.448,305.448,279.994,292.721,210.3562,7966137,0,1,,,
2004-05-26,301.206,309.69,284.236,288.479,207.3078,14385955,0,1,,,
2004-05-27,292.721,313.933,288.479,313.933,225.5996,20224135,0,1,,,
2004-05-28,313.933,326.66,309.69,313.933,225.5996,18849891,0,1,,,
2004-05-31,305.448,305.448,296.963,305.448,219.5022,7435768,0,1,,,
2004-06-01,301.206,301.206,292.721,296.963,213.4046,7644380,0,1,,,
2004-06-02,292.721,292.721,284.236,288.479,207.3078,4669012,0,1,,,
2004-06-03,302.064,302.064,302.064,302.064,217.0703,0,0,1,,,
2004-06-04,279.994,279.994,263.025,267.267,192.0643,22982641,0,1,,,
2004-06-07,275.752,279.994,250.298,271.509,195.1127,47081414,0,1,,,
2004-06-08,271.509,275.752,258.782,263.025,189.0159,12745348,0,1,,,
2004-06-09,258.782,267.267,258.782,263.025,189.0159,4318379,0,1,,,
2004-06-10,258.782,267.267,250.298,254.54,182.9184,21967280,0,1,,,
2004-06-11,258.782,263.025,250.298,254.54,182.9184,11273280,0,1,,,
2004-06-14,254.54,254.54,246.055,250.298,179.87,5495209,0,1,,,
2004-06-15,250.298,250.298,229.086,246.055,176.8209,28238006,0,1,,,
2004-06-16,250.298,250.298,237.571,237.571,170.7241,11837239,0,1,,,
2004-06-17,237.571,241.813,237.571,237.571,170.7241,3748528,0,1,,,
2004-06-18,233.328,237.571,233.328,237.571,170.7241,3568792,0,1,,,
2004-06-21,237.571,237.571,233.328,237.571,170.7241,1334172,0,1,,,
2004-06-22,233.328,241.813,233.328,237.571,170.7241,4039052,0,1,,,
2004-06-23,237.571,250.298,237.571,250.298,179.87,14809071,0,1,,,
2004-06-24,250.298,258.782,246.055,254.54,182.9184,23956752,0,1,,,
2004-06-25,258.782,258.782,250.298,254.54,182.9184,6148151,0,1,,,
2004-06-28,246.055,250.298,246.055,246.055,176.8209,825018,0,1,,,
2004-06-29,246.055,250.298,246.055,250.298,179.87,3067888,0,1,,,
2004-06-30,254.54,271.509,254.54,267.267,192.0643,41726459,0,1,,,
2004-07-01,267.267,275.752,263.025,267.267,192.0643,25446499,0,1,,,
2004-07-02,263.025,275.752,263.025,275.752,198.1619,15213919,0,1,,,
